x, y
5362.883520166144, 1910.5618953791866
5262.574182778288, 1981.6145552793228
3189.5093351276787, 677.589741324417
3319.075828316665, 723.5649871586871
3477.8991584311757, 798.7971496373829
3440.2833163485325, 698.4875730928215
4786.103873559149, 765.3606506954962
5053.595865094243, 610.7167434406438
4932.3886959379815, 690.1284882168009
5120.469181853622, 548.0232481354302
5024.339028168719, 514.5866694746418
1174.9581613281157, 1099.725958989969
2675.4225460746834, 1300.345112079092
2441.366894043674, 1108.0851235848913
2478.9830550019237, 965.9798037846192
2509.9025093413948, 1243.9333067903835
1801.8931143802524, 2466.4443479689903
3820.9786993087623, 1145.1821550552418
4590.559147439119, 1263.1469970413802
4590.559147439119, 1187.3126379792095
4531.150070884129, 890.7476413059235
